Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
3,87,PUCEK Jarosław,49
3,87,ZYSK Tadeusz,152
3,88,BONK-HAMMERMEISTER Dorota Magdalena,27
3,88,BRATKOWSKI Wojciech,16
3,88,HINC Przemysław Jakub,27
3,88,JAŚKOWIAK Jacek,544
3,88,LEWANDOWSKI Tomasz Jacek,73
3,88,PUCEK Jarosław,86
3,88,ZYSK Tadeusz,332
3,89,BONK-HAMMERMEISTER Dorota Magdalena,20
3,89,BRATKOWSKI Wojciech,9
3,89,HINC Przemysław Jakub,22
3,89,JAŚKOWIAK Jacek,391
3,89,LEWANDOWSKI Tomasz Jacek,66
3,89,PUCEK Jarosław,61
3,89,ZYSK Tadeusz,181
3,90,BONK-HAMMERMEISTER Dorota Magdalena,48
3,90,BRATKOWSKI Wojciech,14
3,90,HINC Przemysław Jakub,43
3,90,JAŚKOWIAK Jacek,605
3,90,LEWANDOWSKI Tomasz Jacek,65
3,90,PUCEK Jarosław,79
3,90,ZYSK Tadeusz,285
3,91,BONK-HAMMERMEISTER Dorota Magdalena,43
3,91,BRATKOWSKI Wojciech,17
3,91,HINC Przemysław Jakub,23
